URN,SCHNAME,ATT8SCR
143026,Raise Education and Wellbeing School,SUPP
142535,TLG Bolton,SUPP
140205,Cambian Chesham House School,SUPP
142675,Excel and Exceed Centre,NE
147349,Mill School - Bury,NE
143646,Pennine House Hospital School,SUPP
145845,Grange School,NE
141680,Harpurhey Alternative Provision School,NE
105608,Lancasterian School,NE
135027,Manchester Jewish School for Special Education,SUPP
136264,Manchester Young Lives,NE
138532,Melland High School,NE
137887,Music Stuff,NE
132905,North Ridge High School,NE
142893,Pioneer House High School,NE
141805,Piper Hill High School,NE
148542,Progress Schools - Gorton,SUPP
131751,Elland House School,SUPP
146773,Teenage Works,SUPP
131379,Cedar Lodge School,SUPP
145170,Elizabeth House School,SUPP
135202,Redwood,NE
134575,Rochdale Islamic Academy,NE
140036,Ahavas Torah Boys Academy,NE
143062,Chatsworth High School and Community College,NE
131551,Acorns School,SUPP
106158,Covenant Christian School,SUPP
106173,Heaton School,NE
135526,Penarth Group School,SUPP
147235,Progress Schools - Stockport,SUPP
106166,"Royal School, Manchester",NE
135975,Ashlea House School,SUPP
106279,Cromwell High School,NE
145290,Greater Manchester Alternative Provision,SUPP
146182,Lawrence House,SUPP
130913,The Limes School,SUPP
147859,Safe Start School,NE
106391,Brentwood School,NE
136239,Fairfield House School,SUPP
146988,The Holden School,SUPP
106543,Hope School,NE
134297,"Landgate School, Bryn",NE
148070,Progress Schools - Lilford Centre,NE
145187,Progress Schools Wigan,SUPP
141704,Greenacre School,NE
142320,Park House School,NE
147582,Coppice School,NE
106818,Doncaster School for the Deaf,SUPP
106817,Fullerton House School,SUPP
147515,Heatherwood School,SUPP
148181,More Than Ed Independent School,SUPP
147829,North Ridge Community School,NE
144346,Pennine View School,NE
135547,Stone Hill School,NE
147666,Ellern Mede Moorgate School,SUPP
142795,Hilltop School,SUPP
144196,Milton School,NE
106970,The Willows School,NE
136936,Brantwood Specialist School,NE
135815,Paces High Green School for Conductive Education,SUPP
135287,Seven Hills School,NE
107178,Talbot Specialist School,NE
142784,Broadbeck Learning Centre,SUPP
139978,Co-op Academy Southfield,NE
139977,Hazelbeck Special School,NE
143533,High Park School,NE
140566,J.A.M.E.S,NE
137785,Prism Independent School,SUPP
134427,TLG Bradford,SUPP
141603,Training and Skills Centre,NE
131960,Broadwood School,SUPP
138441,Compass Community School North,SUPP
147983,Millcourt School,SUPP
143841,Nightingale House School,SUPP
107588,Ravenscliffe High School,NE
142324,Stafford Hall School,SUPP
107795,The Branch Christian School,SUPP
142420,Castle Hill: A Specialist College for Communication and Interaction,NE
148175,ES Independent School Kirklees,NE
107802,Fairfield School,NE
108119,John Jamieson School,NE
148255,LS-TEN,SUPP
130274,New Horizon Community School,SUPP
145732,Penny Field School,SUPP
146339,The Pivot Academy LS East,SUPP
108120,"St John's Catholic Specialist School, Boston Spa",SUPP
146633,Southway Independant School,NE
108133,West Oaks School,NE
147306,Compass Community School Hemsworth,SUPP
108311,Highfield School,NE
133719,Oakfield Park School,NE
143102,TLG Wakefield,SUPP
131200,Dryden School,NE
136000,The Gateshead Cheder Primary School,SUPP
139807,Haskel School,SUPP
130942,Hill Top School,NE
136258,Bahr Academy,SUPP
108551,Northern Counties School,NE
131987,Sir Charles Parsons School,NE
146680,Thomas Bewick School,NE
131544,Beacon Hill School,NE
143049,Hopespring Newcastle,SUPP
145239,ID Academy,SUPP
108652,Woodlawn School,NE
136252,Keelman's Way School,NE
147648,Hopespring Sunderland,SUPP
138526,Portland Academy,NE
108877,Thornhill Park School,NE
140079,Three Ways School,NE
109382,Belgrave School,SUPP
109410,Briarwood School,NE
109391,Claremont School,NE
109385,Elmfield School for Deaf Children,SUPP
148394,Grace Garden School,SUPP
109393,New Fosseway School,NE
144286,Notton House Academy,SUPP
109409,Baytree School,SUPP
148418,Seven Hills,SUPP
146014,Culverhill School,NE
146013,New Siblands School,SUPP
109353,Sheiling School,SUPP
109403,Warmley Park School,NE
135424,Cambian Hartlepool School,SUPP
139976,Catcote Academy,NE
136259,Keys Tees Valley College,NE
131425,Priory Woods School,NE
139110,Kilton Thorpe Specialist Academy,NE
111777,Kirkleatham Hall School,NE
147914,Mackenzie Thorpe Centre,SUPP
148341,Outwood Alternative Provision Eston,NE
139974,Abbey Hill Academy,NE
146824,Elmbank Learning Centre,SUPP
146220,Frederick Holmes School,NE
140904,Ganton School,NE
139628,Tweendykes School,NE
133429,Cambian Beverley School,SUPP
118144,Kings Mill School,NE
118148,Riverside Special School,NE
118145,St Anne's School and Sixth Form College,NE
146333,Sycamore House School,SUPP
137394,Humberston Park School,NE
147462,Learning4Life-GY,NE
145462,Act Fast NL Ltd,NE
121778,Brooklands School,NE
134660,Cambian Scarborough School,SUPP
147298,Clervaux Garden School,SUPP
121771,The Dales School,SUPP
145241,Fenton Grange School,SUPP
147819,The Forest School,NE
121772,Springhead School,SUPP
121776,Springwater School,SUPP
135292,Stonegate School,SUPP
121766,Welburn Hall School,NE
139482,The Woodlands Academy,NE
147690,Al Hikmah Boys School,NE
109744,Woodlands Secondary School,NE
135990,Cambian Walnut Tree Lodge School,SUPP
135987,Esland Bedford School,NE
109742,Ridgeway School,SUPP
137469,St John's School,NE
109746,The Chiltern School,NE
109739,Ivel Valley School & College,NE
135805,Benjamin College,SUPP
142069,The Chalfonts Independent Grammar School,NE
110578,Chiltern Wood School,NE
145298,Eton Dorney Independent Therapeutic School,SUPP
110582,Heritage House School,SUPP
148010,International School of Creative Arts,SUPP
110564,Macintyre School,NE
131462,The Pace Centre,SUPP
135604,Progress Schools - Buckinghamshire,SUPP
110581,Stocklake Park Community School,NE
142322,Cambian Bletchley Park School,NE
148420,KWS Milton Keynes,SUPP
110592,The Redway School,NE
110587,Slated Row School,NE
110584,The Walnuts School,NE
110575,White Spire School,NE
113040,Alfreton Park Community Special School,NE
135187,Arnfield Independent School,NE
147124,Ashgate Croft School,NE
146052,Bennerley Fields School,NE
113019,Bladon House School,NE
113031,Brackenfield Special School,NE
136167,Bradshaw Farm Independent School,SUPP
146058,Holbrook School for Autism,NE
145572,Jasmine House School,SUPP
131327,The Linnet Independent Learning Centre,SUPP
135241,The Meadows,SUPP
134395,New Direction,SUPP
136168,Old Sams Farm Independent School,SUPP
146053,Peak School,NE
132120,Pegasus School,SUPP
147664,R.E.A.L Independent Schools Ilkeston,SUPP
146054,Stanton Vale School,SUPP
147627,Stubbin Wood School,NE
147491,Ivy House School,SUPP
139787,Maple View School,SUPP
147132,St Andrew's Academy,NE
143642,Arbour House School,SUPP
113956,Beaucroft Foundation School,NE
146790,The Beeches School,SUPP
116593,The Forum School,SUPP
113957,Mountjoy School,SUPP
113950,Purbeck View School,SUPP
113952,Sheiling School,SUPP
113960,Westfield Arts College,NE
113965,Yewstock School,NE
138249,Bournemouth Christian School,SUPP
133740,Langside School,SUPP
148031,The Lion Works School,SUPP
137286,Montacute School,NE
113942,Portfield School,NE
147198,The Stable School,SUPP
113955,Winchelsea School,NE
114349,Durham Trinity School & Sports College,NE
135834,The Grange Learning Centre,SUPP
136748,Highcroft School,SUPP
138718,Hope Wood Academy,NE
139329,North East Centre for Autism - Aycliffe School,SUPP
114345,Villa Real School,NE
145127,Embleton View,SUPP
141954,Oakwood Learning Centre,SUPP
135113,Pear Tree School,SUPP
139657,Anderida Learning Centre,SUPP
114682,Chailey Heritage School,NE
145116,Compass Community School South,SUPP
139521,Glyne Gap School,SUPP
114688,Grove Park School,NE
145254,Hazel Court School,NE
148552,ISP School,SUPP
114677,St. John's School (Seaford),SUPP
134634,Step by Step School Limited,SUPP
146036,Brighton and Hove Clinic School,NE
114680,Downs View Special School,NE
131127,Drive Preparatory School,SUPP
114619,Hamilton Lodge School and College for Deaf Children,SUPP
114687,Hill Park School,NE
131356,The Lioncare School,SUPP
116574,Brockwood Park School,NE
147615,Compass Community School Hampshire,SUPP
135823,Forest Park School,SUPP
147655,GLADE School,NE
145479,The Green Room School Kingsley,NE
131559,Henry Tyndale School,NE
116565,Hill House School,SUPP
116609,Icknield School,SUPP
135105,Jubilee School,SUPP
116614,Limington House School,SUPP
116589,The Loddon School,NE
116611,Rachel Madocks School,SUPP
144808,Releasing Potential School,NE
116618,St Francis Special School,NE
116594,St Michael's School,SUPP
131531,Tadley Court School,NE
116636,Treloar School,NE
140325,Mary Rose Academy,NE
143828,Redwood Park Academy,NE
116622,The Cedar School,NE
144205,Great Oaks School,NE
139265,Rosewood Free School,SUPP
139559,ALP Leicester,NE
120352,Ashmount School,NE
142779,ASPIRE: Lifeskills,SUPP
144619,Clovelly House School,SUPP
146360,Dovetree School,SUPP
137905,Forest Way School,NE
147858,The Fusion Academy,SUPP
141127,Hardwick House School,SUPP
148245,Henry David Learning Woodfield School,SUPP
147963,Lodge Farm Education,SUPP
128078,Oakwood Community School,NE
142939,The Place Independent School,SUPP
147607,R.E.A.L Independent Schools Hinckley,NE
120325,Stoneygate School,SUPP
135218,Trinity College,SUPP
138935,Wigston Birkett House Community Special School,NE
142659,Wolfdale School,SUPP
139734,Woodside Lodge Outdoor Learning Centre,SUPP
134595,Emmanuel Christian School,SUPP
147223,Imam Muhammad Adam Institute Boys School,NE
120361,Nether Hall School,NE
131099,West Gate School,NE
131018,The Shires,SUPP
142635,The Shires at Oakham,SUPP
147780,Compass Community School Staffordshire,SUPP
146070,The Fountains High School,NE
138243,Hopedale School,SUPP
142013,Ivetsey Bank Hospital School,NE
148248,JP Alternative Education,SUPP
143346,The Meadows School,NE
131004,Options Trent Acres School,SUPP
132735,Rugeley School,NE
142094,Saxon Hill Academy,NE
135259,Stepping Stones School,SUPP
124500,Abbey Hill School and College,NE
136220,Glebedale School,SUPP
145950,Intuition Holistic Education,SUPP
146497,Kemball School,NE
140330,Kinetic Academy,SUPP
146503,Watermill School,NE
135486,Bishopstrow College,NE
148176,The Eaves Learning Centre,SUPP
131743,Emmaus School,SUPP
141647,Exeter House Special School,NE
148145,Silverwood School,NE
146166,The Spires,SUPP
126536,Maranatha Christian School,SUPP
143014,Uplands School,NE
110190,Kennel Lane School,NE
142066,Forest Bridge School,SUPP
147663,Queensmead House School,SUPP
142325,Taplow Manor School,NE
110186,Brookfields Special School,NE
110182,The Castle School,NE
139963,Engaging Potential,NE
132003,Priors Court School,NE
137435,The Avenue Special School,NE
135995,The Deenway Montessori School,SUPP
139728,Thames Valley School,SUPP
136955,Al-Madani Girls School,SUPP
145741,Arbour Vale School,NE
110187,Addington School,NE
134424,The Vine Christian School,SUPP
110920,Aurora Meldreth Manor School,NE
136236,Begdale House School,SUPP
141879,Cambian Home Tree School,SUPP
134972,"Castle School, Cambridge",NE
142625,Glebe House,SUPP
134937,Granta School,NE
143111,Highfield Ely Academy,NE
140882,Highfield Littleport Academy,SUPP
108886,Holme Court School,SUPP
144055,Meadowgate Academy,NE
110951,Samuel Pepys School,SUPP
135380,Shelldene House School,SUPP
142557,Spring Common Academy,NE
139018,The Beeches Independent School,SUPP
110948,Heltwate School,NE
147944,Lime Academy Orton,NE
134893,Park House,SUPP
140578,The Cavendish High Academy,NE
111514,Chesnut Lodge Special School,NE
133485,Halton School,SUPP
138597,Hope Corner School,SUPP
111496,Fox Wood Special School,SUPP
111495,Green Lane Community Special School,NE
134186,school@brightfuturescare.co.uk,NE
135773,Acorn School,SUPP
113643,Bidwell Brook School,NE
133392,Blackford Education (Schools) Ltd t/a the Libra School,SUPP
135803,Cambian Devon School,SUPP
143407,Chances Educational Support Services,SUPP
148630,The Copper Academy,SUPP
113633,Ellen Tinkham School,NE
113654,Exeter Royal Academy for Deaf Education,SUPP
142763,Highgate Hill House School,NE
113652,Infocus School,SUPP
146287,K-HQ,SUPP
113637,The Lampard Community School,NE
113635,Mill Water School,NE
113616,Quay View School,NE
143539,Running Deer School,SUPP
113567,St Wilfrid's School,SUPP
141515,School for Inspiring Talents,SUPP
113603,South Devon Steiner School,SUPP
145549,Tor View School,SUPP
113571,Vranch House School,SUPP
148180,The Wildings,SUPP
113645,Cann Bridge School,NE
113650,Longcause Community Special School,NE
113651,Mill Ford School,NE
113644,Woodlands School,NE
113641,Mayfield School,NE
148621,Preston Bridge School,SUPP
148543,Chatten Free School,SUPP
146804,Clarity Independent School,SUPP
138122,Columbus School and College,NE
147473,Compass Community School Essex,SUPP
115464,The Edith Borthwick School,NE
146601,Endeavour Co-Operative Academy,NE
115469,Glenwood School,NE
131838,Harlow Fields School and College,NE
147704,The Karalius Foundation,SUPP
115475,Lexden Springs School,NE
145987,Oak View School,SUPP
144818,Open Box Education Centre,SUPP
138219,The Pioneer School,NE
115466,St John's RC School (Essex),NE
115471,Shorefields School,NE
144956,Southview School,SUPP
137554,Thriftwood School,NE
145162,TLG Tendring,SUPP
148422,The Tower School,SUPP
144693,Lancaster School,NE
138736,Beacon Hill Academy,SUPP
139607,Barrs Court School,NE
117048,Cambian Hereford School,SUPP
147220,Compass Community School Hereford,SUPP
144717,Hidelow Grange School,SUPP
131353,Queenswood School,NE
117042,Rowden House School,SUPP
117055,Westfield School,NE
117035,Abbey College in Malvern,NE
142833,Bridge School Malvern,SUPP
117062,Chadsgrove School,NE
148587,Compass Community School Vicarage Park,SUPP
142011,Cotswold Spa Hospital School,SUPP
148156,Lokrum Fields,SUPP
136262,Norton College,NE
147465,Nurture Learning,SUPP
136260,Our Place School,SUPP
117056,Pitcheroak School,NE
140261,Regency High School,NE
117049,Rigby Hall Day Special School,NE
117041,The River School,SUPP
140397,Riversides School,SUPP
117033,Sunfield Children's Home Ltd,NE
135791,Wyre Forest School,NE
135198,The Annex School House,SUPP
119044,The Beacon Folkestone,NE
131181,Beech Grove School,NE
119027,Caldecott Foundation School,SUPP
145064,Cherry Tree,SUPP
146521,Cornfields School,NE
145574,Cross Keys Learning,SUPP
135623,Fairlight Glen Independent Special School,SUPP
135510,Ferndearle,SUPP
119041,Foreland Fields School,NE
133539,Great Oaks Small School,SUPP
119009,Heath Farm School,SUPP
118993,Helen Allison School,SUPP
119040,Ifield School,NE
134783,Meadowfield School,NE
119050,Nexus Foundation Special School,NE
132148,Oakley School,NE
131422,The Old Priory School,SUPP
144475,Parkview Academy,SUPP
138408,Pier View Academy,SUPP
134605,The Quest School,SUPP
119059,St Nicholas' School,NE
137795,The Sallygate School,SUPP
119056,Stone Bay School,SUPP
131748,The Wyvern School (Buxford),NE
119052,Abbey Court Foundation Special School,NE
135576,Blue Skies School,SUPP
145231,City of Rochester School,SUPP
142333,Austen House,SUPP
119861,Bleasdale School,SUPP
136069,Brook View School,SUPP
119877,Chorley Astley Park School,NE
148397,Compass Community School Lancashire,SUPP
119893,The Coppice School,NE
119878,Great Arley School,NE
131479,Hillside Specialist School and College,NE
143041,Hope School,SUPP
119887,Kirkham Pear Tree School,NE
129571,Learn 4 Life School,SUPP
143858,Lincoln House School,SUPP
145242,Linton School,SUPP
119892,The Loyne Specialist School,SUPP
119889,Mayfield School,NE
138868,Meadow View Learning Centre,SUPP
132079,Moorlands View School,SUPP
146030,The Nook School,SUPP
131575,Oliver House School,SUPP
135015,Pendle Community High School & College,NE
148056,Pioneer TEC,SUPP
131138,Progress School,SUPP
131163,Red Rose School,NE
135013,Ridgewood Community High School,NE
145296,Rosa House School,SUPP
135346,Sir Tom Finney Community High School,NE
119897,Thornton-Cleveleys Red Marsh School,NE
146899,Crosshill Special School,NE
133541,Markazul Uloom,SUPP
132051,Newfield School,NE
119868,Highfurlong School,NE
130902,Spen Brook School,NE
119871,Woodlands School,SUPP
145949,APTCOO - A Place to Call Our Own,SUPP
122957,Ash Lea School,NE
131536,Blue Mountain Education,SUPP
122953,Carlton Digby School,NE
148530,Harlow Academy,NE
135393,Hope House School,SUPP
130996,Newark Orchard School,NE
122955,St Giles School,NE
147949,Venture Learning,SUPP
144643,Yeoman Park Academy,NE
137915,Nethergate Academy,NE
135573,Oak Field School,NE
122964,Rosehill School,NE
145129,Take 1 Learning Centre,NE
138875,Amberleigh Therapeutic School,SUPP
140227,Bridge School,SUPP
131171,Darwin School,SUPP
131033,Oakwood School,SUPP
135445,Options Higford,SUPP
146340,Overton School,SUPP
138580,Physis Academy,SUPP
146350,Aspris Telford School,SUPP
123635,The Bridge at HLC,NE
123621,Overley Hall School,SUPP
144404,The Retreat,SUPP
148556,Rodenhurst School,SUPP
146164,The Seeds School,NE
125814,Aidenswood,SUPP
148047,Compass Community School Cheshire,SUPP
147896,Lavender Field School,SUPP
147660,Norbury Court School,SUPP
111508,Park Lane School,SUPP
111507,Springfield School,NE
147951,Abbey School for Exceptional Children,SUPP
111494,Dee Banks School,SUPP
111511,Dorin Park School & Specialist SEN College,NE
131792,iMap Centre,SUPP
147737,Maple Grove School,SUPP
142302,The Russett School,NE
143166,Curnow School,NE
143173,Doubletrees School,NE
148342,The Lowen School,SUPP
143167,Nancealverne School,SUPP
148038,Red Moor School,SUPP
112082,St Piran's School (Gb) Ltd,SUPP
135405,Taliesin Education Ltd,SUPP
129252,Three Bridges,SUPP
134781,Cambian Whinfell School,SUPP
141993,George Hastwell School Special Academy,SUPP
146250,James Rennie School,NE
135410,Kirby Moor School,SUPP
112464,Mayfield School,SUPP
145465,Moorfield Learning Centre,SUPP
135555,Progress Schools - Carlisle,NE
145292,St Bees School,NE
112465,Sandgate School,NE
112466,Sandside Lodge School,SUPP
147237,South Lakes Academy,NE
145402,SwitchED2,NE
115808,The Acorn School,SUPP
148662,Aurora Severnside School,SUPP
115821,Bettridge School,NE
139772,Edward Jenner School,SUPP
134190,Heart of the Forest Community Special School,NE
147116,The Milestone School,NE
146519,Norton College Tewkesbury,NE
147158,Paternoster School,SUPP
115823,The Shrubberies School,NE
143018,Wotton House International School Gloucestershire,SUPP
117684,Amwell View School,SUPP
117681,Breakspeare School,SUPP
117672,The Collett School,NE
145962,Elysium Healthcare Potters Bar Clinic School,SUPP
117690,Greenside School,NE
117680,Lakeside School,SUPP
117679,Lonsdale School,NE
141251,Pinewood School,NE
117646,Radlett Lodge School,SUPP
144726,Rhodes Wood Hospital School,NE
117665,St Elizabeth's School,NE
117671,St Luke's School,NE
117669,The Valley School,NE
117683,Watling View School,SUPP
117682,Woodfield School,NE
118226,St Catherine's School and College,NE
118227,St George's School,NE
142136,Aegir - A Specialist Academy,NE
148189,Aspiration House School,SUPP
142666,Boston Endeavour Academy,NE
145932,Build a Future Independent School,NE
147170,Castle Futures,NE
139625,"The Eresby School, Spilsby",NE
147703,Esland Grantham School,SUPP
142665,The Garth School,NE
141254,The Grantham Sandon School,SUPP
148356,Holton Sleaford Independent School,NE
120740,Kisimul School,SUPP
120754,The Lincoln St Christopher's School,NE
142309,St Bernard's School,SUPP
120755,"The St Francis Special School, Lincoln",NE
142308,St Lawrence School,NE
142667,Tulip Academy,NE
147414,Willoughby Academy,SUPP
146971,Witham Prospect School,SUPP
146626,Argyll House,SUPP
134978,Avocet House,SUPP
121260,Chapel Green School,SUPP
145529,Churchill Park Complex Needs School,NE
121261,The Clare School,SUPP
139099,Eaton Hall Specialist Academy,SUPP
121256,Fred Nicholson School,NE
121257,Hall School,SUPP
121264,"Harford Manor School, Norwich",SUPP
121265,"John Grant School, Caister-on-Sea",NE
145159,Kingsbrook School,SUPP
129511,Norwich Steiner School,NE
138779,Novaturient School,NE
121262,"The Parkside School, Norwich",NE
121252,St Andrew's School,SUPP
121258,Sheringham Woodfields School,NE
121254,Sidestrand Hall School,NE
138880,Turnstone House School,SUPP
122384,Barndale House School,SUPP
145184,Buzz Learning Independent Specialist School,SUPP
122385,The Grove Special School,SUPP
146121,Hexham Priory School,NE
145957,NCEA Castle School,NE
147980,Rosewood Independent School,SUPP
146683,Bardwell School,NE
123345,Bishopswood School,SUPP
140217,"Endeavour Academy, Oxford",NE
139322,Fitzwaryn School,NE
123332,Frank Wise School,NE
139312,The Iffley Academy,NE
138119,Include - Oxfordshire,SUPP
123333,John Watson School,NE
139079,Kingfisher School,NE
147821,Mabel Prichard School,SUPP
123326,Park School,SUPP
133430,"St Clare's, Oxford",NE
147127,Springfield School,NE
134909,3 Dimensions,SUPP
123945,Avalon School,NE
131455,Cambian Somerset School,SUPP
147126,Critchill Special School,SUPP
123944,Fiveways Special School,NE
135735,Inaura School,SUPP
131016,Newbury Manor School,SUPP
145293,The Orchard School,SUPP
145308,Park House School,SUPP
135673,Petherton Park School,SUPP
123938,Polden Bower School,NE
146698,Selworthy Special School,NE
133522,Wessex Lodge School,NE
130854,Acorn Cottage The Lodge,NE
147162,The Bridge School,NE
124903,Hillside Special School,SUPP
135689,The Meadows Montessori School,SUPP
148425,Ness Point School,SUPP
146418,Riverwalk School,NE
147849,Sir Bobby Robson School,NE
137838,Thomas Wolsey Ormiston Academy,NE
146431,Warren School,NE
146338,Arun Court,SUPP
145169,The Beech House School,SUPP
148736,Burstow Park School,NE
134902,The Children's Trust School,SUPP
125470,Clifton Hill School,NE
147789,Elysian Animal Assisted Therapy and Learning CIC,NE
125477,Freemantles School,NE
125452,Gosden House School,NE
125442,Hurtwood House School,SUPP
131976,Jigsaw CABAS School,SUPP
144233,Linden Bridge School,NE
135407,Papillon House,SUPP
141533,Pond Meadow School,NE
125474,Portesbery School,NE
141843,The Ridgeway School,NE
125456,St Joseph's Specialist Trust,NE
125453,St Piers School,SUPP
146660,Serenity School,NE
134833,Undershaw Education Trust,SUPP
142416,Wemms Education Centre,SUPP
125469,Woodlands School,SUPP
145470,Brickyard Barn Outdoor Learning Centre,SUPP
125805,Evergreen School,NE
139919,Keresley College,SUPP
